name,description,address,rating,comment,imageUrl
"Sunset Beach Bar","Beautiful beachside bar with stunning ocean views and live music on weekends. Perfect for watching the sunset while enjoying tropical cocktails.","123 Ocean Drive, Miami Beach, FL 33139",4.5,"Great sunset views, reservations recommended on weekends","https://images.unsplash.com/photo-1559827260-dc66d52bef19?w=800"
"Mountain Peak Cafe","Cozy mountain retreat with fireplace, serving fresh pastries and locally roasted coffee. Popular spot for hikers and nature lovers.","456 Summit Road, Aspen, CO 81611",5.0,"Excellent coffee, very cozy atmosphere","https://images.unsplash.com/photo-1554118811-1e0d58224f24?w=800"
"Downtown Art Gallery","Contemporary art gallery featuring local and international artists. Rotating exhibitions every month with opening night events.","789 Main Street, New York, NY 10001",4.0,"Check their website for current exhibitions","https://images.unsplash.com/photo-1536924940846-227afb31e2a5?w=800"
"Riverside Park","Scenic park along the river with walking trails, picnic areas, and playground. Great for families and outdoor activities.","321 River Road, Portland, OR 97201",4.8,"Dog-friendly, free parking available","https://images.unsplash.com/photo-1566073771259-6a8506099945?w=800"
"Historic Library","Beautiful historic library building with extensive collection and quiet reading rooms. Free public access with membership.","654 Library Lane, Boston, MA 02108",4.3,"","https://images.unsplash.com/photo-1521587760476-6c12a4b040da?w=800"
"Organic Market","Weekly farmers market featuring organic produce, artisanal foods, and handmade crafts. Open Saturday mornings.","987 Market Square, San Francisco, CA 94102",4.7,"Cash and card accepted, arrive early for best selection",""
"Yoga Wellness Center","Full-service wellness center offering yoga classes, meditation sessions, and spa treatments. Beginners welcome.","147 Wellness Way, Austin, TX 78701",4.6,"First class free for new members",""
"Jazz Music Club","Intimate jazz club with nightly live performances. Full bar and small plates menu available.","258 Jazz Avenue, New Orleans, LA 70112",4.9,"Cover charge on weekends, make reservations","https://images.unsplash.com/photo-1514320291840-2e0a9bf2a9ae?w=800"
"Tech Innovation Hub","Co-working space and innovation hub for startups and freelancers. High-speed internet and meeting rooms available.","369 Tech Boulevard, Seattle, WA 98101",4.4,"Daily and monthly memberships available","https://images.unsplash.com/photo-1497366216548-37526070297c?w=800"
"Botanical Gardens","Expansive botanical gardens with themed sections including tropical plants, rose garden, and Japanese garden. Educational tours available.","741 Garden Path, San Diego, CA 92101",5.0,"Guided tours on weekends, photography allowed","https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800"
